bond condition,tension method,web width b/mm,height h/mm,top flange width bf/mm,top flange height hf/mm,low flange width bl/mm,low flange heighthl/mm,span L/m,h0/mm,cover for rein c/mm,hp/mm,cover for prestress ap/mm,As`/mm2,As/mm2,Ap/mm2,d1/mm,no.,d/mm,no..2,dpre/mm,no..3,fy/Mpa,fpu_Mpa,fpy/Mpa,Es_Mpa,Ep/Mpa,concrete grade,fc_Mpa,ft_Mpa,Ec_Mpa,tension force N/kN,sigma_pe_Mpa,sigma_con_Mpa,crack load Pcr/kN,crack moment Mcr/kN·m,ultimate load Pu/kN,ultimate moment Mu/kN·m,camber f/mm,moment corresponding to crack M/kN·m,load correspd to crack N/kN,average crack space /mm,Max crack width/mm,moment correspd to deflection1 M/kN·m,deflection1 f1/mm,load N/kN,deflection2 f2/mm,Deflection_Yielded_Dy_mm,Limit_Displacement_Du_mm,Ductility Coefficient μ,Stress_Increase_Dfps_Mpa,Mu (Ultimate Moment),Pu (Ultimate Load),Pcr (Cracking Load),Deflection f1/mm,Deflection f2/mm
B,X,50,300,125,30,25,90,4.8,320,20,250,50,201,515.2,301.7,16,2,8,4,10,4,394.2,1860,2655,185900,156300,RPC,118.6,8.5,43400,200,993.6,1104.2,81.2,60.9,285.6,1262,4.921,143.16,Pu/1.4,54.5,0.35,592.5,11.48,285.6,98.32,39.34,98.32,2.5,606.4,390882933.3,1715241.84,21250,3.37E-11,5.05E-11
B,X,50,300,125,30,25,90,4.8,320,20,250,50,201,515.2,301.7,16,2,8,4,10,4,394.2,1860,2655,185900,156300,RPC,122.1,8.9,43800,200,91.6,119.2,29.7,22.3,277.3,1262,0.386,143.16,Pu/1.4,50.7,2.8,592.5,6.39,277.3,149.58,26.87,149.58,5.57,606.4,390882933.3,1759866.84,22250,3.24E-11,4.86E-11
B,X,50,300,75,30,25,90,4.8,320,20,250,50,201,515.2,301.7,16,2,8,4,10,4,394.2,1860,2655,185900,156300,RPC,116.1,8.7,43700,200,928.3,1062.1,80.7,60.5,253.6,1262,4.514,143.16,Pu/1.4,54.8,0.18,592.5,11.02,253.6,86.72,37.58,86.72,2.31,606.4,390882933.3,1683366.84,21750,2.97E-11,4.46E-11
U,X,50,300,75,30,25,90,4.8,320,20,250,50,201,515.2,301.7,16,2,8,4,10,4,394.2,1860,2655,185900,156300,RPC,125.8,8.3,42800,200,948.5,1034.9,72.3,54.2,229.7,1262,5.12,143.16,Pu/1.4,75.5,0.28,592.5,12.75,229.7,97.18,45.82,97.18,2.12,606.4,390882933.3,1807041.84,20750,2.75E-11,4.12E-11
B,X,50,300,65,20,25,90,4.8,320,20,250,50,201,515.2,301.7,16,2,8,4,10,4,394.2,1860,2655,185900,156300,RPC,125.2,8.7,43900,200,869.7,954.1,68.5,51.4,200.8,1262,4.218,143.16,Pu/1.4,51.6,0.09,592.5,12.16,200.8,62.67,47.02,62.67,1.33,606.4,390882933.3,1799391.84,21750,2.34E-11,3.51E-11
B,X,50,300,65,20,25,90,4.8,320,20,250,50,201,84.8,301.7,6,3,8,4,10,4,264,1860,2655,198000,156300,RPC,129.6,8.1,43300,200,841.8,935.5,57.6,43.2,186.4,1262,4.427,143.16,Pu/1.4,55.6,0.76,592.5,10.64,186.4,99.46,42.78,99.46,2.32,606.4,390882933.3,1674787.2,20250,2.20E-11,3.31E-11
B,H,70,600,265,50,115,80,10,320,20,250,50,565,904,1120,12,8,12,5,15.2,8,264,1860,2655,198000,156300,RPC,126,8.1,42200,200,841.8,935.5,275.6,592.5,587.1,1262,10.824,143.16,275.6,55.6,0.76,592.5,22.18,587.1,153.4,42.78,99.46,2.89,606.4,390882933.3,1674787.2,20250,1.20E-10,1.80E-10
B,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,52.2,8.1,48200,200,841.8,1200,37.5,592.5,140,1262,10.824,143.16,275.6,55.6,0.76,592.5,176.5,37.5,7.34,40.36,176.5,4.37,606.4,390882933.3,1674787.2,20250,3.34E-12,5.01E-12
B,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,46.2,8.1,42700,200,841.8,1200,37.5,592.5,120,1262,10.824,143.16,37.5,55.6,0.07,592.5,143.4,37.5,6.941,39.86,143.4,3.6,606.4,390882933.3,1674787.2,20250,3.77E-12,5.66E-12
B,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,46.2,8.1,42700,200,841.8,1200,37.5,592.5,120,1262,10.824,143.16,90,55.6,0.75,592.5,143.4,37.5,6.941,39.86,143.4,3.6,606.4,390882933.3,1674787.2,20250,3.77E-12,5.66E-12
B,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,46.2,8.1,42700,200,841.8,1200,37.5,592.5,120,1262,10.824,143.16,120,55.6,2,592.5,143.4,37.5,6.941,39.86,143.4,3.6,606.4,390882933.3,1674787.2,20250,3.77E-12,5.66E-12
B,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,41.1,8.1,37900,200,841.8,1200,37.5,592.5,120,1262,10.824,143.16,37.5,55.6,0.08,592.5,160.26,37.5,7.859,41.71,160.3,3.84,606.4,390882933.3,1674787.2,20250,4.25E-12,6.37E-12
B,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,41.1,8.1,37900,200,841.8,1200,37.5,592.5,120,1262,10.824,143.16,90,55.6,0.59,592.5,160.26,37.5,7.859,41.71,160.3,3.84,606.4,390882933.3,1674787.2,20250,4.25E-12,6.37E-12
B,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,41.1,8.1,37900,200,841.8,1200,37.5,592.5,120,1262,10.824,143.16,120,55.6,1.9,592.5,160.26,37.5,7.859,41.71,160.3,3.84,606.4,390882933.3,1674787.2,20250,4.25E-12,6.37E-12
U,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,46.8,8.1,43200,200,841.8,1200,37.5,592.5,152,1262,10.824,143.16,37.5,55.6,0.06,592.5,175.32,37.5,7.859,44.04,175.3,3.98,606.4,390882933.3,1674787.2,20250,3.73E-12,5.59E-12
U,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,46.8,8.1,43200,200,841.8,1200,37.5,592.5,152,1262,10.824,143.16,80,55.6,1.1,592.5,175.32,37.5,7.859,44.04,175.3,3.98,606.4,390882933.3,1674787.2,20250,3.73E-12,5.59E-12
U,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,46.8,8.1,43200,200,841.8,1200,37.5,592.5,152,1262,10.824,143.16,152,55.6,2.4,592.5,175.32,37.5,7.859,44.04,175.3,3.98,606.4,390882933.3,1674787.2,20250,3.73E-12,5.59E-12
U,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,43.2,8.1,39900,200,841.8,1200,37.5,592.5,110,1262,10.824,143.16,37.5,55.6,0.07,592.5,150.42,37.5,7.859,68.42,150.4,2.2,610.6,390882933.3,1674787.2,20250,4.04E-12,6.05E-12
U,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,43.2,8.1,39900,200,841.8,1200,37.5,592.5,110,1262,10.824,143.16,80,55.6,1.5,592.5,150.42,37.5,7.859,68.42,150.4,2.2,610.6,390882933.3,1674787.2,20250,4.04E-12,6.05E-12
U,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,43.2,8.1,39900,200,841.8,1200,37.5,592.5,110,1262,10.824,143.16,110,55.6,2.3,592.5,150.42,37.5,7.859,68.42,150.4,2.2,610.6,390882933.3,1674787.2,20250,4.04E-12,6.05E-12
U,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,49.5,8.1,45800,200,841.8,1200,37.5,592.5,108,1262,10.824,143.16,37.5,55.6,0.07,592.5,148.07,37.5,7.859,52.27,148.1,2.83,589,390882933.3,1674787.2,20250,3.52E-12,5.27E-12
U,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,49.5,8.1,45800,200,841.8,1200,37.5,592.5,108,1262,10.824,143.16,80,55.6,1.5,592.5,148.07,37.5,7.859,52.27,148.1,2.83,589,390882933.3,1674787.2,20250,3.52E-12,5.27E-12
U,H,100,340,100,50,100,50,6,320,20,290,50,565,904,280,12,8,12,5,15.2,2,264,1860,1755,198000,200000,C50,49.5,8.1,45800,200,841.8,1200,37.5,592.5,108,1262,10.824,143.16,108,55.6,2.4,592.5,148.07,37.5,7.859,52.27,148.1,2.83,589,390882933.3,1674787.2,20250,3.52E-12,5.27E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,57,700,6,2,6,4,15.2,5,245.2,1860,1791.4,200000,200000,C50,128,3.2,48200,200,592.6,1023,182,109.6,407,238.6,10.824,143.16,108,111,0.32,592.5,4.65,407,59.43,6.81,67.63,9.93,589,390882933.3,4583576.4,22400,3.21E-12,4.81E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,57,700,6,2,6,4,15.2,5,245.2,1860,1791.4,200000,200000,C50,128,3.2,48200,200,592.6,1023,182,109.6,407,238.6,10.824,238.6,108,111,7.5,592.5,4.65,407,59.43,6.81,67.63,9.93,589,390882933.3,4583576.4,22400,3.21E-12,4.81E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,509,420,18,2,6,4,15.2,3,536,1860,1791.4,198000,200000,C50,128,6.2,48200,200,622,1023,120,91.2,540,313.3,10.824,187.98,108,77,0.13,592.5,3.79,540,53.06,17.61,53.13,3.02,589,390882933.3,4842424,43400,4.25E-12,6.38E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,509,420,18,2,6,4,15.2,3,536,1860,1791.4,198000,200000,C50,128,6.2,48200,200,622,1023,120,91.2,540,313.3,10.824,313.3,108,77,0.6,592.5,3.79,540,53.06,17.61,53.13,3.02,589,390882933.3,4842424,43400,4.25E-12,6.38E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,509,700,18,2,6,4,15.2,5,536,1860,1791.4,198000,200000,C50,134,6.4,49000,200,613.7,1023,180,108.5,559,326,10.824,195.6,108,71,0.1,592.5,4.66,559,55.84,17.44,63.51,3.64,589,390882933.3,5056624,44800,4.33E-12,6.50E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,509,700,18,2,6,4,15.2,5,536,1860,1791.4,198000,200000,C50,134,6.4,49000,200,613.7,1023,180,108.5,559,326,10.824,326,108,71,7.2,592.5,4.66,559,55.84,17.44,63.51,3.64,589,390882933.3,5056624,44800,4.33E-12,6.50E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,509,420,18,2,6,4,15.2,3,536,1860,1791.4,198000,200000,C50,134,6.4,49000,200,970.5,1395,180,109.6,499,291.9,10.824,175.14,108,77,0.08,592.5,4.57,499,52.8,18.47,68.28,3.7,589,390882933.3,5056624,44800,3.87E-12,5.80E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,509,420,18,2,6,4,15.2,3,536,1860,1791.4,198000,200000,C50,134,6.4,49000,200,970.5,1395,180,109.6,499,291.9,10.824,291.9,108,77,7.6,592.5,4.57,499,52.8,18.47,68.28,3.7,589,390882933.3,5056624,44800,3.87E-12,5.80E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,587,420,18,2,6,4,15.2,3,536,1860,1791.4,198000,200000,C50,126,6.1,48000,200,617.2,1023,155,94.1,521,304.5,10.824,182.7,108,90,0.13,592.5,4.22,521,64.85,18.13,66.06,3.64,589,390882933.3,4812832,42700,4.12E-12,6.18E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,587,420,18,2,6,4,15.2,3,536,1860,1791.4,198000,200000,C50,126,6.1,48000,200,617.2,1023,155,94.1,521,304.5,10.824,304.5,108,90,2.5,592.5,4.22,521,64.85,18.13,66.06,3.64,589,390882933.3,4812832,42700,4.12E-12,6.18E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,509,420,18,2,6,4,15.2,3,380,1860,1791.4,201000,200000,C50,126,6.1,48000,200,622,1023,165,99.8,465,272.1,10.824,163.26,108,100,0.1,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
U,H,120,350,90,50,100,50,3.5,320,20,290,50,114,509,420,18,2,6,4,15.2,3,380,1860,1791.4,201000,200000,C50,126,6.1,48000,200,622,1023,165,99.8,465,272.1,10.824,272.1,108,100,8.5,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,69.67728,70.2,18,2,6,4,6.35,3,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,15.47826,465,29.182734,10.824,272.1,?fs=206.8MPa,155.448,0.28,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,69.67728,70.2,18,2,6,4,6.35,3,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,15.47826,465,29.182734,10.824,272.1,?fs=275.8MPa,155.448,0.38,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,69.67728,70.2,18,2,6,4,6.35,3,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,15.47826,465,29.182734,10.824,272.1,?fs=413.7MPa,155.448,0.66,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,69.67728,70.2,18,2,6,4,6.35,3,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,15.47826,465,29.182734,10.824,272.1,?fs=551.6MPa,155.448,1.02,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,92.90304,93.6,18,2,6,4,6.35,4,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,18.52872,465,35.114184,10.824,272.1,?fs=206.8MPa,149.86,0.32,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,92.90304,93.6,18,2,6,4,6.35,4,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,18.52872,465,35.114184,10.824,272.1,?fs=275.8MPa,149.86,0.52,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,92.90304,93.6,18,2,6,4,6.35,4,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,18.52872,465,35.114184,10.824,272.1,?fs=413.7MPa,149.86,0.7,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,92.90304,93.6,18,2,6,4,6.35,4,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,18.52872,465,35.114184,10.824,272.1,?fs=551.6MPa,149.86,1.04,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,116.1288,117,18,2,6,4,6.35,5,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,20.133036,465,38.910312,10.824,272.1,?fs=206.8MPa,142.24,0.33,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,116.1288,117,18,2,6,4,6.35,5,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,20.133036,465,38.910312,10.824,272.1,?fs=275.8MPa,142.24,0.42,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,116.1288,117,18,2,6,4,6.35,5,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,20.133036,465,38.910312,10.824,272.1,?fs=413.7MPa,142.24,0.77,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,116.1288,117,18,2,6,4,6.35,5,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,20.133036,465,38.910312,10.824,272.1,?fs=551.6MPa,142.24,0.97,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,139.35456,140.4,18,2,6,4,6.35,6,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,21.35322,465,44.129988,10.824,272.1,?fs=206.8MPa,124.206,0.25,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,139.35456,140.4,18,2,6,4,6.35,6,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,21.35322,465,44.129988,10.824,272.1,?fs=275.8MPa,124.206,0.4,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,139.35456,140.4,18,2,6,4,6.35,6,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,21.35322,465,44.129988,10.824,272.1,?fs=413.7MPa,124.206,0.57,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,139.35456,140.4,18,2,6,4,6.35,6,380,1860,1791.4,201000,200000,C50,32.96,6.1,48000,200,622,1023,165,21.35322,465,44.129988,10.824,272.1,?fs=551.6MPa,124.206,0.77,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,162.58032,163.8,18,2,6,4,6.35,7,380,1860,1791.4,201000,200000,C50,28.27,6.1,48000,200,622,1023,165,20.67534,465,47.214342,10.824,272.1,?fs=206.8MPa,105.41,0.23,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,162.58032,163.8,18,2,6,4,6.35,7,380,1860,1791.4,201000,200000,C50,28.27,6.1,48000,200,622,1023,165,20.67534,465,47.214342,10.824,272.1,?fs=275.8MPa,105.41,0.3,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,162.58032,163.8,18,2,6,4,6.35,7,380,1860,1791.4,201000,200000,C50,28.27,6.1,48000,200,622,1023,165,20.67534,465,47.214342,10.824,272.1,?fs=413.7MPa,105.41,0.52,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,162.58032,163.8,18,2,6,4,6.35,7,380,1860,1791.4,201000,200000,C50,28.27,6.1,48000,200,622,1023,165,20.67534,465,47.214342,10.824,272.1,?fs=551.6MPa,105.41,0.81,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,185.80608,187.2,18,2,6,4,6.35,8,380,1860,1791.4,201000,200000,C50,28.27,6.1,48000,200,622,1023,165,22.505616,465,48.63789,10.824,272.1,?fs=206.8MPa,91.694,0.31,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,185.80608,187.2,18,2,6,4,6.35,8,380,1860,1791.4,201000,200000,C50,28.27,6.1,48000,200,622,1023,165,22.505616,465,48.63789,10.824,272.1,?fs=275.8MPa,91.694,0.46,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,185.80608,187.2,18,2,6,4,6.35,8,380,1860,1791.4,201000,200000,C50,28.27,6.1,48000,200,622,1023,165,22.505616,465,48.63789,10.824,272.1,?fs=413.7MPa,91.694,0.54,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,185.80608,187.2,18,2,6,4,6.35,8,380,1860,1791.4,201000,200000,C50,28.27,6.1,48000,200,622,1023,165,22.505616,465,48.63789,10.824,272.1,?fs=551.6MPa,91.694,0.92,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,4691620,42700,3.68E-12,5.52E-12
B,X,76.2,254,63.5,76.2,100,50,3.5,320,20,290,50,141.9,211.61248,70.2,9.5,2,6,4,6.35,3,544.7,1860,1791.4,201000,200000,C50,29.99,6.1,48000,200,622,1023,165,14.23548,465,37.96128,10.824,272.1,?fs=206.8MPa,81.28,0.13,592.5,4.21,465,66.89,14.2,69.13,4.87,589,390882933.3,608648.2021,42700,3.68E-12,5.52E-12
